trial,imv
0,3.1080237112925175
1,1.1793733746358157
2,2.6379690292110354
3,2.1089062716291664
4,6.567590162378565
5,3.2913296701020016
6,5.93036273263985
7,3.64257253424627
8,1.1327464337220192
9,8.125955654531808
10,1.225336693341049
11,4.204350658280063
12,4.886051238395936
13,5.00120235725926
14,3.6275230349826018
15,1.7639253307550717
16,4.339995881273595
17,3.9221587677795355
18,2.8278066074706345
19,9.714665287492792
20,4.0318461330992506
21,7.94869966801329
22,8.467662155892285
23,4.463121428887661
24,0.15934619951366358
25,2.6746188919100575
26,1.251835767608
27,5.852594102906863
28,0.14206139382621075
29,5.35646546870943
30,4.006663503609175
31,4.237789099779235
32,8.738973396610277
33,1.3842458267655502
34,1.8817169006644434
35,7.1727583109179704
36,2.016423595024733
37,8.591941819323452
38,2.4321524396646623
39,5.104724271255577
40,13.50538779590893
41,9.302509996988334
42,0.5265534866035466
43,1.9716925360639266
44,1.3513761336755294
45,4.871893914291533
46,3.2204043788315175
47,4.090649291961185
48,7.28590282147276
49,9.090143196331226
50,6.261838253302756
51,8.897674931035326
52,4.1414273569546225
53,6.293849781369033
54,8.615202236987031
55,4.941860222505966
56,5.914804912188643
57,5.055061540893092
58,4.898004736080097
59,7.147241138574159
60,9.482318768656214
61,1.1902592767183506
62,10.931824247432104
63,16.13552112191084
64,18.137781134080086
65,14.970258913498427
66,11.30428542333658
67,8.368157588434528
68,13.406115623875067
69,1.5288386841965291
70,8.275947622459768
71,1.4662623149311287
72,4.749063334274439
73,1.9266382645518831
74,6.810016619851282
75,2.8066384176865427
76,3.7138602165479426
77,3.797677373956759
78,5.476660238689618
79,2.0193536948148676
80,5.678896795869534
81,2.13480316044037
82,5.424879946830956
83,8.426715131505688
84,6.879315247795603
85,5.024007901498521
86,4.009784192628047
87,3.248738727343394
88,3.761249926989123
89,10.75206887563769
90,4.23118912999422
91,13.640938889166591
92,9.925220826183448
93,9.51880825254915
94,2.6314363650362367
95,10.767124665359646
96,2.0245146053759413
97,5.669321708171921
98,3.3288630179162197
99,2.909438309250092
100,2.510602905268712
101,10.848194286492586
102,3.9482335752901605
103,0.21328866017870496
104,1.4277197658635998
105,10.780441401167963
106,10.384620717370609
107,10.49779928093966
108,12.064286845445665
109,11.441243124009361
110,4.998157320680207
111,19.45334019897163
112,15.80735117642034
113,7.4751595942496465
114,8.544566594455674
115,6.19700629978847
116,8.18159202524123
117,11.499766974196646
118,7.986799321535287
119,8.813421734559043
120,6.4973562531694
121,9.059507996960747
122,10.832877848718653
123,4.458633360553733
124,4.356092468501743
125,11.752001717667952
126,6.222390325450377
127,7.28743669087811
128,10.628594560906237
129,9.568407144564759
130,6.960623242017064
131,5.9074573869788765
132,8.671656092600202
133,4.976515944725222
134,8.06248223568437
135,8.339639047042752
136,7.8757511493707
137,2.9331516155198045
138,6.283082845488224
139,4.877188264218347
140,5.485704105636373
141,1.1325960005723061
142,12.18389491482813
143,5.193386238026918
144,6.088661107180641
145,6.004242504285543
146,1.2482034116110867
147,2.9914396849391665
148,2.4430896689293604
149,12.304718914454895
150,5.04430158506068
151,1.7017059101067247
152,7.441598134787469
153,0.5688933885003706
154,13.518198272682994
155,9.821763696354935
156,12.931936779710043
157,12.28246314223827
158,14.721821262376977
159,4.116992726005563
160,3.5150706227371558
161,12.508038108170851
162,5.5237247672013154
163,11.482432188969938
164,7.317294675738452
165,5.605411842853798
166,4.768351333453808
167,4.224424429961687
168,17.47737987374471
169,3.6357037066187132
170,7.861292802202868
171,7.742339466166882
172,7.522720921225556
173,0.1604618608752304
174,1.3090278321872688
175,5.0838790894112975
176,9.853708763537284
177,4.707784011429595
178,1.301531083435151
179,0.37692823791316243
180,13.559135276550379
181,10.525156322217768
182,3.2051681759000843
183,8.833022445914267
184,6.439042414824129
185,4.803978262537271
186,4.88848849361726
187,5.8911222249317206
188,4.812858600738835
189,3.1919205051604536
190,8.902189284271117
191,3.6685533990565204
192,15.216109213825561
193,2.5402495156293696
194,9.601905388118325
195,7.1188633592042265
196,8.209851583898327
197,8.956556134249624
198,15.38065800800399
199,0.036944159296027124
200,9.823351390230584
201,6.49004602558162
202,9.219176906836111
203,3.645112690249462
204,10.725355552353676
205,2.672097769681116
206,12.431802052381045
207,7.877014485187814
208,11.318730089987582
209,14.209683995742637
210,11.182986767709892
211,4.361787553938882
212,5.179652694278829
213,6.63653399957056
214,5.051977081616457
215,4.285133347099787
216,8.025181304174225
217,1.8753407952079044
218,7.326709591983828
219,9.823262514347093
220,6.423671553384736
221,6.074854119806403
222,7.127706854378744
223,5.541999687556128
224,0.3411695551885714
225,5.5775244659900665
226,6.884359963808322
227,6.68074898237731
228,9.409946032758015
229,9.385650606575624
230,11.35847602601116
231,7.5584512794273735
232,3.8177546239576685
233,8.360948441515305
234,2.359407388012741
235,8.730972701052494
236,9.244969910162311
237,2.421749669702862
238,3.8892561996089654
239,0.29911112633641324
240,6.0339060217829115
241,2.839520390462255
242,6.68638362008987
243,1.545703576404449
244,1.3596218567014091
245,9.251502978387364
246,11.142644834690216
247,0.9658890374116567
248,5.360676282235659
249,9.00778235660708
250,10.12555627721737
251,3.5165256970716285
252,6.300622016669664
253,10.338488977819182
254,5.9614996665494715
255,7.364103232852088
256,0.7755908323439655
257,0.7442013128135017
258,4.431592023364388
259,12.503206121102068
260,7.571860254964619
261,0.020159667093636813
262,2.7351609686846103
263,12.760148176008173
264,1.0724904101719943
265,13.13993950844447
266,1.5782990438774505
267,8.301397153351644
268,3.3013469977689454
269,3.1664986441314653
270,5.516334464747558
271,3.7711430673327158
272,0.07670630085284813
273,2.8104330163183278
274,0.21699838854253528
275,0.33509610106911225
276,3.6707118208537537
277,0.47011764524070543
278,4.4966608668312205
279,9.387712169867598
280,4.404702678481399
281,2.884126842327177
282,2.2030128722146145
283,1.9634153385370325
284,0.15274315135744132
285,8.843464395726215
286,0.04566183395682799
287,1.0456359621319962
288,5.6513085115642525
289,6.614940266057587
290,3.0927818866489503
291,3.986689854803629
292,3.2161521653502234
293,3.110502676417525
294,0.2885069584355904
295,9.961074710686844
296,7.1669015994808944
297,2.3601459437585675
298,5.9910402162404495
299,8.383184049017103
